,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,Income,y
1,2004,55,37,67.3,17,30.9,45.9,0,0.0,0.0,17,30.9,45.9,20,36.4,54.1,15,27.3,3,5.5,M,42065,67.2
2,2005,64,43,67.2,27,42.2,62.8,0,0.0,0.0,27,42.2,62.8,16,25.0,37.2,9,14.1,9,14.1,M,42065,56.4
4,2001,64,46,71.90000000000002,32,50.0,69.6,7,10.9,15.2,25,39.1,54.3,14,21.9,30.4,10,15.6,6,9.4,M,42065,63.5
5,2002,52,33,63.5,19,36.5,57.6,8,15.4,24.2,11,21.2,33.3,14,26.9,42.4,16,30.8,1,1.9,M,42065,77.0
6,2003,87,67,77.0,39,44.8,58.2,11,12.6,16.4,28,32.2,41.8,28,32.2,41.8,9,10.3,11,12.6,M,42065,67.0
7,2004,112,75,67.0,36,32.1,48.0,6,5.4,8.0,30,26.8,40.0,39,34.8,52.0,33,29.5,4,3.6,M,42065,52.9
8,2005,121,64,52.9,35,28.9,54.7,4,3.3,6.3,31,25.6,48.4,29,24.0,45.3,41,33.9,11,9.1,M,42065,48.4
10,2001,61,41,67.2,40,65.6,97.6,0,0.0,0.0,40,65.6,97.6,1,1.6,2.4,7,11.5,12,19.7,M,42065,62.5
11,2002,72,45,62.5,45,62.5,100.0,0,0.0,0.0,45,62.5,100.0,0,0.0,0.0,18,25.0,7,9.7,M,42065,62.0
12,2003,79,49,62.0,44,55.7,89.8,0,0.0,0.0,44,55.7,89.8,5,6.3,10.2,20,25.3,10,12.7,M,42065,72.5
13,2004,80,58,72.5,48,60.0,82.8,0,0.0,0.0,48,60.0,82.8,10,12.5,17.2,13,16.3,9,11.3,M,42065,71.8
14,2005,85,61,71.8,58,68.2,95.1,0,0.0,0.0,58,68.2,95.1,3,3.5,4.9,11,12.9,9,10.6,M,42065,78.9
16,2001,69,34,49.3,6,8.7,17.6,0,0.0,0.0,6,8.7,17.6,28,40.6,82.4,19,27.5,10,14.5,M,42065,40.0
17,2002,55,22,40.0,11,20.0,50.0,4,7.3,18.2,7,12.7,31.8,11,20.0,50.0,18,32.7,11,20.0,M,42065,44.3
18,2003,70,31,44.3,22,31.4,71.0,0,0.0,0.0,22,31.4,71.0,9,12.9,29.0,20,28.6,18,25.7,M,42065,44.6
19,2004,65,29,44.6,13,20.0,44.8,3,4.6,10.3,10,15.4,34.5,16,24.6,55.2,27,41.5,8,12.3,M,42065,55.7
20,2005,88,49,55.7,38,43.2,77.59999999999998,18,20.5,36.7,20,22.7,40.8,11,12.5,22.4,20,22.7,14,15.9,M,42065,59.5
22,2001,166,88,53.0,36,21.7,40.9,0,0.0,0.0,36,21.7,40.9,53,31.9,60.2,45,27.1,30,18.1,M,42065,44.8
23,2002,172,77,44.8,53,30.8,68.8,0,0.0,0.0,53,30.8,68.8,24,14.0,31.2,67,39.0,28,16.3,M,42065,42.0
24,2003,205,86,42.0,71,34.6,82.6,48,23.4,55.8,23,11.2,26.7,15,7.3,17.4,80,39.0,39,19.0,M,42065,48.5
25,2004,200,97,48.5,74,37.0,76.3,60,30.0,61.9,14,7.0,14.4,23,11.5,23.7,78,39.0,25,12.5,M,42065,45.5
26,2005,154,70,45.5,56,36.4,80.0,45,29.2,64.3,11,7.1,15.7,14,9.1,20.0,64,41.6,20,13.0,M,42065,54.4
30,2003,58,58,100.0,57,98.3,98.3,49,84.5,84.5,8,13.8,13.8,1,1.7,1.7,0,0.0,0,0.0,M,42065,96.7
31,2004,60,58,96.7,58,96.7,100.0,54,90.0,93.1,4,6.7,6.9,0,0.0,0.0,0,0.0,2,3.3,M,42065,95.9
32,2005,49,47,95.9,47,95.9,100.0,38,77.59999999999998,80.9,9,18.4,19.1,0,0.0,0.0,2,4.1,0,0.0,M,42065,100.0
34,2001,86,27,31.4,2,2.3,7.4,0,0.0,0.0,2,2.3,7.4,25,29.1,92.6,47,54.7,11,12.8,M,42065,23.9
35,2002,92,22,23.9,6,6.5,27.3,0,0.0,0.0,6,6.5,27.3,16,17.4,72.7,62,67.4,8,8.7,M,42065,29.0
36,2003,93,27,29.0,7,7.5,25.9,0,0.0,0.0,7,7.5,25.9,20,21.5,74.09999999999998,62,66.7,4,4.3,M,42065,41.8
